PURITY
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|  Method   | k  |    dataset     |        lda         |      skipgram      |       tfidf        |     consensus      |
|    NCF    | 6  | 20Newsgroup:6  | 1.2135757665482696 | 1.1929360377831524 |        1.0         | 1.1720366828895856 |
|    NCF    | 6  |   BBCSport:6   | 3.280740615413286  | 1.8720326500469084 |        1.0         | 1.9868519844914447 |
|    NCF    | 6  |  Reuters-R8:6  |        1.0         | 1.522704650454091  | 1.036478952944225  |        1.0         |
|    NCF    | 6  |    WebKB:6     |        1.0         | 1.284189404814151  | 1.0330905121929486 |        1.0         |
|    NCF    | 12 | 20Newsgroup:12 | 1.0049732311707607 |  1.13395404158485  | 1.098068847123481  |        1.0         |
|    NCF    | 12 |  BBCSport:12   | 3.1115125923251825 | 1.396087202660561  | 1.073791668623399  |        1.0         |
|    NCF    | 12 | Reuters-R8:12  | 1.0036635527010405 | 1.575543900445183  |        1.0         | 1.0561147375341853 |
|    NCF    | 12 |    WebKB:12    | 1.0001307471027985 | 1.2162888099899838 | 1.0890413451666883 |        1.0         |
|    NCF    | 24 | 20Newsgroup:24 |        1.0         | 1.1778073204472443 | 1.3045430063989205 | 1.0027690941912601 |
|    NCF    | 24 |  BBCSport:24   | 3.069029151453662  | 1.4287703411450916 |        1.0         | 1.0898441744065923 |
|    NCF    | 24 | Reuters-R8:24  | 1.0331275610270922 | 1.8005841021452709 | 1.011198345078615  |        1.0         |
|    NCF    | 24 |    WebKB:24    |        1.0         | 1.210880896921722  | 1.137984655798131  |        1.0         |
|    NCF    | 48 | 20Newsgroup:48 |        1.0         | 1.1527578476471498 | 1.5029897882868657 | 1.0181058912989083 |
|    NCF    | 48 |  BBCSport:48   | 3.021400386323394  | 1.9518883510544645 |        1.0         | 2.9544855827701237 |
|    NCF    | 48 | Reuters-R8:48  | 1.004011138560754  | 1.5489208922365367 |        1.0         | 1.116626800849677  |
|    NCF    | 48 |    WebKB:48    |        1.0         | 1.3166652075833547 | 1.1916150326180144 | 1.054856609502298  |
| NCFwR#10  | 3  | 20Newsgroup:3  | 1.2190735357887168 | 1.2724945392513802 |        1.0         | 1.043290651238498  |
| NCFwR#10  | 3  |   BBCSport:3   | 1.364309872264231  | 1.102787587879152  |        1.0         | 1.006010284132606  |
| NCFwR#10  | 3  |  Reuters-R8:3  | 1.0406442853766666 | 1.4080877431703813 | 1.066023067251258  |        1.0         |
| NCFwR#10  | 3  |    WebKB:3     | 1.0291569536712988 | 1.2521330437475984 | 1.0654000422130738 |        1.0         |
| NCFwR#10  | 6  | 20Newsgroup:6  | 1.017479955428344  | 1.1299823886166434 | 1.0320699596888432 |        1.0         |
| NCFwR#10  | 6  |   BBCSport:6   | 3.652956323745068  | 2.023831163999367  |        1.0         | 1.5470545568899212 |
| NCFwR#10  | 6  |  Reuters-R8:6  |        1.0         | 1.7306710791179738 | 1.0404877516648485 | 1.2305371943607983 |
| NCFwR#10  | 6  |    WebKB:6     |        1.0         | 1.1979504287774512 | 1.0169947793366803 | 1.0042665928172996 |
| NCFwR#10  | 12 | 20Newsgroup:12 | 1.0300385025326633 | 1.0279818292469407 | 1.1116424123127557 |        1.0         |
| NCFwR#10  | 12 |  BBCSport:12   | 2.8329948005391796 | 1.4399682796057875 |        1.0         | 1.349100633544991  |
| NCFwR#10  | 12 | Reuters-R8:12  |        1.0         | 1.7389314093902803 | 1.0326193905783205 | 1.0461255810644459 |
| NCFwR#10  | 12 |    WebKB:12    |        1.0         | 1.2635707233763431 | 1.0466706503622594 | 1.0219230524927447 |
| NCFwR#10  | 24 | 20Newsgroup:24 |        1.0         | 1.141475475166865  | 1.298088123724774  | 1.0215808452245314 |
| NCFwR#10  | 24 |  BBCSport:24   |  3.76925461903391  | 1.8950935144043901 |        1.0         | 1.588300447239715  |
| NCFwR#10  | 24 | Reuters-R8:24  | 1.0268451090412984 | 1.616033637673336  |        1.0         | 1.0722215501529953 |
| NCFwR#10  | 24 |    WebKB:24    |        1.0         | 1.285583020364778  | 1.095277141269571  | 1.1147482732123242 |
| NCFwR#10  | 48 | 20Newsgroup:48 |        1.0         | 1.1569418054059835 | 1.446740665344487  | 1.0410419854544877 |
| NCFwR#10  | 48 |  BBCSport:48   | 2.8733780248917755 | 1.1208950199849221 |        1.0         | 1.2557383399131368 |
| NCFwR#10  | 48 | Reuters-R8:48  | 1.0212681769374234 |  1.56148168084673  |        1.0         | 1.1415473027427259 |
| NCFwR#10  | 48 |    WebKB:48    |        1.0         | 1.3186660628965494 | 1.1696892844260618 | 1.1724111597761706 |
| NCFwR#20  | 3  | 20Newsgroup:3  | 1.050052284810447  | 1.3286901978080317 |        1.0         | 1.1453850236886145 |
| NCFwR#20  | 3  |   BBCSport:3   | 1.5128131779992802 |        1.0         | 1.0403627046364143 | 1.1859635175004015 |
| NCFwR#20  | 3  |  Reuters-R8:3  | 1.1218909061030011 | 1.8375575881461306 | 1.0950379908880143 |        1.0         |
| NCFwR#20  | 3  |    WebKB:3     |        1.0         | 1.209541349842387  | 1.0306249163050105 | 1.0207233990429099 |
| NCFwR#20  | 6  | 20Newsgroup:6  | 1.314191749621324  | 1.488324940001784  |        1.0         | 1.2627241939112617 |
| NCFwR#20  | 6  |   BBCSport:6   | 3.615109748168409  | 2.349258657394203  |        1.0         | 1.9573163480567908 |
